ID_Ra,Name,Category,Total kg CO2-eq/kg,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Energy (KJ/100 g),Fat (g/100 g),Carbohydrate (g/100 g),Protein (g/100 g),ID_food,ID_pack,ID_retail,
Ra00130,"Squab (pigeon), raw",Meat/poultry,3.27,2.71,0.18,0.00,0.14,0.24,0.00,1190,23.8,0,18.2,Fa0291,Pa059,Ma0333,
Ra00131,"Barley groats, raw",Cereal/grain/pulse products,1.78,1.37,0.12,-0.02,0.20,0.10,0.01,1476,2.4,62.2,9.9,Fa0142,Pa018,Ma0332,
Ra00132,"Oats, rolled, not enriched",Cereal/grain/pulse products,1.94,1.51,0.14,-0.02,0.20,0.10,0.01,1541,6.7,57,14.2,Fa0141,Pa018,Ma0332,
Ra00133,"Rice groats, raw",Cereal/grain/pulse products,5.09,4.37,0.17,-0.03,0.20,0.38,0.01,1528,1.3,78.1,6.8,Fa0025,Pa018,Ma0332,
Ra00134,"Parsley, raw",Vegetables,0.45,0.25,0.03,0.00,0.14,0.03,0.01,201,1.1,1.2,3.7,Cm173,Pa059,Ma0332,
Ra00135,"Dill, raw",Vegetables,0.45,0.25,0.03,0.00,0.14,0.03,0.01,201,1.1,4.9,3.5,Cm173,Pa059,Ma0332,
Ra00136,"Garlic, raw",Vegetables,1.25,0.87,0.05,0.00,0.06,0.26,0.01,669,0.5,30.9,6.4,Cm068,Pa040,Ma0332,
Ra00137,"Chives, raw",Vegetables,0.43,0.30,0.03,0.00,0.06,0.03,0.01,107,0.6,1.5,2.4,Cm087,Pa040,Ma0332,
Ra00138,"Cress, garden, raw",Vegetables,0.45,0.25,0.03,0.00,0.14,0.03,0.01,111,0.5,0.2,2.8,Cm173,Pa059,Ma0332,
Ra00139,"Olives, black, without stones, in brine",Seasonings/preservatives/extracts,2.05,1.03,0.11,0.22,0.51,0.17,0.01,463,9.8,2.9,1,Fa0143,Pa047,Ma0332,
Ra00140,"Hazelnut, dried",Fruit/vegetable products,6.95,5.36,0.89,0.00,0.26,0.44,0.01,2712,60.6,3.3,15.6,Fa0225,Pa066,Ma0332,
Ra00141,"Sunflower seeds, decorticated, dried",Fruit/vegetable products,3.13,2.29,0.29,0.00,0.26,0.29,0.01,2564,54.4,3.6,24.2,Fa0226,Pa066,Ma0332,
Ra00142,"Sesame seeds, decorticated",Fruit/vegetable products,7.30,5.86,0.75,0.07,0.26,0.35,0.01,2657,57.4,1.8,26.8,Fa0227,Pa066,Ma0332,
Ra00143,"Walnuts, dried",Fruit/vegetable products,5.69,4.71,0.41,0.00,0.26,0.31,0.01,2924,64.6,2.8,16.6,Fa0228,Pa066,Ma0332,
Ra00144,"Cashew nuts, dry roasted",Fruit/vegetable products,12.47,11.24,1.68,-1.60,0.26,0.88,0.01,2504,46.4,26.9,18.1,Fa0160,Pa066,Ma0332,
Ra00145,"Pumpkin seeds, dried",Fruit/vegetable products,5.69,4.71,0.41,0.00,0.26,0.31,0.01,2351,45.9,2,36.3,Fa0292,Pa066,Ma0332,
Ra00146,Honey,Prepared/preserved foods,0.81,0.15,0.04,0.14,0.41,0.07,0.01,1391,0,75.1,0.3,Fa0113,Pa064,Ma0332,
Ra00147,"Ice cream, dairy, (wholemilk based)",Prepared/preserved foods,2.71,1.00,-0.23,1.26,0.51,0.15,0.02,649,3,23.5,4,Fa0101,Pa039,Ma0334,
Ra00148,"Ice cream, dairy (cream based)",Prepared/preserved foods,2.71,1.00,-0.23,1.26,0.51,0.15,0.02,865,10,25.1,4,Fa0101,Pa039,Ma0334,
Ra00149,"Ice, popsickle, lemonade",Prepared/preserved foods,1.25,0.29,0.05,0.27,0.51,0.11,0.02,370,2,16.9,0.5,Fa0159,Pa039,Ma0334,
Ra00150,Vinegar,Seasonings/preservatives/extracts,1.58,0.66,0.07,0.40,0.41,0.03,0.01,84,0,5.4,0.4,Fa0015,Pa007,Ma0332,
Ra00151,"Salt, table",Seasonings/preservatives/extracts,0.44,0.00,0.03,0.21,0.20,0.00,0.01,0,0,0,0,Em034,Pa018,Ma0332,
Ra00152,"Rhubarb, raw",Vegetables,0.38,0.25,0.03,0.00,0.06,0.03,0.01,108,0.3,1.9,0.9,Cm173,Pa040,Ma0332,
Ra00153,"Celery, raw",Vegetables,0.38,0.25,0.03,0.00,0.06,0.03,0.01,98,0.2,1.9,0.7,Cm173,Pa040,Ma0332,
Ra00154,"Cauliflower, all varieties, raw",Vegetables,0.63,0.42,0.04,0.00,0.06,0.11,0.01,116,0.4,1.9,2.4,Cm029,Pa040,Ma0332,
Ra00155,"Broccoli, raw",Vegetables,0.63,0.42,0.04,0.00,0.06,0.11,0.01,148,0.2,2.1,3.6,Cm029,Pa040,Ma0332,
Ra00156,"Kale, raw",Vegetables,0.29,0.16,0.02,0.00,0.06,0.03,0.01,252,1.1,2,4.7,Cm020,Pa040,Ma0332,
Ra00157,"Cabbage, white, raw",Vegetables,0.29,0.16,0.02,0.00,0.06,0.03,0.01,133,0.2,4.5,1.2,Cm020,Pa040,Ma0332,
Ra00158,"Brussels sprouts, raw",Vegetables,0.29,0.16,0.02,0.00,0.06,0.03,0.01,223,0.5,4.4,4.5,Cm020,Pa040,Ma0332,
Ra00159,"Cabbage, red, raw",Vegetables,0.29,0.16,0.02,0.00,0.06,0.03,0.01,133,0.2,4,1.5,Cm020,Pa040,Ma0332,
Ra00160,"Cabbage, spring, raw",Vegetables,0.29,0.16,0.02,0.00,0.06,0.03,0.01,112,0.3,3,2,Cm020,Pa040,Ma0332,
Ra00161,"Spinach, raw",Vegetables,0.48,0.31,0.03,0.00,0.06,0.08,0.01,102,0.6,0.2,2.6,Cm154,Pa040,Ma0332,
Ra00162,"Artichoke, raw",Vegetables,0.98,0.68,0.04,0.00,0.06,0.19,0.01,218,0.1,8.1,3.3,Cm007,Pa040,Ma0332,
Ra00163,"Asparagus, green, raw",Vegetables,1.08,0.82,0.08,0.00,0.06,0.11,0.01,109,0.3,3.1,1.8,Cm008,Pa040,Ma0332,
Ra00164,"Lettuce, iceberg (incl. crisphead types), raw",Vegetables,0.46,0.27,0.03,0.00,0.06,0.10,0.01,65,0.1,2.4,0.8,Cm090,Pa040,Ma0332,
Ra00165,"Lettuce, looseleaf, raw",Vegetables,0.46,0.27,0.03,0.00,0.06,0.10,0.01,63,0.1,1.5,1.4,Cm090,Pa040,Ma0332,
Ra00166,"Cabbage, Chinese, pak-choi, raw",Vegetables,0.29,0.16,0.02,0.00,0.06,0.03,0.01,61,0.2,1.2,1.5,Cm020,Pa040,Ma0332,
Ra00167,"Cabbage, savoy, raw",Vegetables,0.29,0.16,0.02,0.00,0.06,0.03,0.01,113,0.1,3,2,Cm020,Pa040,Ma0332,
Ra00168,"Cauliflower, frozen",Fruit/vegetable products,0.82,0.52,0.05,0.02,0.06,0.16,0.02,115,0.3,3.7,2,Fa0107,Pa040,Ma0334,
Ra00169,"Leek, raw",Vegetables,0.43,0.30,0.03,0.00,0.06,0.03,0.01,146,0.2,3.7,2,Cm087,Pa040,Ma0332,
Ra00170,"Spinach, chopped, frozen",Fruit/vegetable products,0.64,0.38,0.04,0.02,0.06,0.12,0.02,108,0.5,2.2,2.1,Fa0108,Pa040,Ma0334,
Ra00171,"Broccoli, frozen",Fruit/vegetable products,0.82,0.52,0.05,0.02,0.06,0.16,0.02,113,0.3,1.8,2.8,Fa0109,Pa040,Ma0334,
Ra00172,"Beans, wax, raw",Vegetables,0.95,0.45,0.04,0.00,0.14,0.32,0.01,148,0.2,5.3,2.1,Cm014,Pa059,Ma0332,
Ra00173,"Peas, green, raw",Vegetables,1.27,0.92,0.10,0.00,0.06,0.18,0.01,294,0.7,6.5,5.9,Cm122,Pa040,Ma0332,
Ra00174,"Green lentils, dried",Cereal/grain/pulse products,3.08,2.42,0.25,0.00,0.20,0.19,0.01,1466,2.5,53.2,26.2,Cm089,Pa018,Ma0332,
Ra00175,"Peas, chick/garbanzo, dry, raw",Cereal/grain/pulse products,3.60,2.77,0.36,0.00,0.20,0.26,0.01,1541,6.9,45.9,20.4,Cm036,Pa018,Ma0332,
Ra00176,"Beans, green, raw",Vegetables,0.95,0.45,0.04,0.00,0.14,0.32,0.01,126,0.2,5.9,1.9,Cm014,Pa059,Ma0332,
Ra00177,"Bean sprouts, mung, raw",Fruit/vegetable products,0.95,0.45,0.04,0.00,0.14,0.32,0.01,143,0.2,4.1,3,Cm014,Pa059,Ma0332,
Ra00178,"Bean sprouts, average values, raw",Fruit/vegetable products,0.95,0.45,0.04,0.00,0.14,0.32,0.01,157,0.3,5.1,3,Cm014,Pa059,Ma0332,
Ra00179,"Sugar pea (Snow pea, Mangetout) raw",Vegetables,1.34,0.92,0.10,0.00,0.14,0.18,0.01,202,0.3,6.4,3.8,Cm122,Pa059,Ma0332,
Ra00180,"Beans, soy, dried, raw",Cereal/grain/pulse products,1.84,1.28,0.19,0.00,0.20,0.16,0.01,1720,18.4,17.5,35.8,Cm152,Pa018,Ma0332,
Ra00181,"Peas, green, frozen",Vegetables,1.62,1.15,0.12,0.02,0.06,0.24,0.02,310,0.7,8.4,6.1,Fa0110,Pa040,Ma0334,
Ra00182,"Water, bottled, carbonated",Beverages,0.19,0.00,0.01,0.02,0.13,0.02,0.01,17,0,0,0,Fa0012,Pa011,Ma0332,
Ra00183,"Soft drink, sugar added",Beverages,0.59,0.15,0.02,0.14,0.20,0.07,0.01,170,0,9.9,0,Fa0008,Pa003,Ma0332,
Ra00184,"Apple juice, canned or bottled",Beverages,1.68,0.54,0.04,0.60,0.31,0.18,0.01,204,0.1,10.2,0.1,Fa0032,Pa021,Ma0332,
Ra00185,"Sherry, dry",Beverages,2.91,1.05,0.08,1.04,0.37,0.37,0.01,487,0,1.3,0.2,Fa0018,Pa008,Ma0332,
Ra00186,"Liqueur, coffee with cream",Beverages,3.56,1.45,0.02,1.34,0.37,0.38,0.01,1382,15.7,20,2.8,Fa0019,Pa008,Ma0332,
Ra00187,"Margarine, 70 % fat, table use, soft, vegetable fat",Milk/eggs/substitute products,2.49,0.00,-0.04,2.11,0.24,0.18,0.00,2806,70.6,0,0.8,Fa0023,Pa017,Ma0333,
Ra00188,"Garfish, raw",Seafood,2.63,0.44,0.14,1.87,0.14,0.03,0.00,450,3.2,0,19.5,Fa0417,Pa059,Ma0333,
Ra00189,"Salmon, Atlantic, wild, raw",Seafood,2.09,0.44,0.12,1.36,0.14,0.03,0.00,666,7.5,0,18.4,Fa0419,Pa059,Ma0333,
Ra00190,"Mackerel, raw",Seafood,1.98,0.44,0.11,1.26,0.14,0.03,0.00,780,12.9,0,17.8,Fa0420,Pa059,Ma0333,
Ra00191,"Plaice, raw",Seafood,2.81,0.44,0.15,2.04,0.14,0.03,0.00,369,1.9,0,17.5,Fa0421,Pa059,Ma0333,
Ra00192,"Herring, raw",Seafood,2.23,0.44,0.12,1.49,0.14,0.03,0.00,784,13.6,0,16.5,Fa0422,Pa059,Ma0333,
Ra00193,"Saithe, raw",Seafood,2.81,0.44,0.15,2.04,0.14,0.03,0.00,333,0.7,0,18.1,Fa0423,Pa059,Ma0333,
Ra00194,"Cod, fillet, raw",Seafood,2.81,0.44,0.15,2.04,0.14,0.03,0.00,320,0.6,0,17.6,Fa0424,Pa059,Ma0333,
Ra00195,"Plaice, fillet, breaded, dybfrost",Seafood,2.45,0.40,0.13,1.59,0.26,0.05,0.02,577,1.1,19.1,11.9,Fa0219,Pa066,Ma0334,
Ra00196,"Saithe (UK), pollock (US), fillet, frozen",Seafood,2.71,0.44,0.15,1.92,0.14,0.03,0.02,387,0.9,0,20.5,Fa0425,Pa059,Ma0334,
Ra00197,"Tuna, raw",Seafood,3.10,0.44,0.17,2.32,0.14,0.03,0.00,496,1.1,0,26.8,Fa0426,Pa059,Ma0333,
Ra00198,"Salmon, Atlantic, aquaculture, cold smoked",Seafood,2.78,0.56,0.17,1.80,0.14,0.11,0.00,711,8.9,1.6,20.9,Fa0393,Pa059,Ma0333,
Ra00199,"Salmon, atlantic, aquaculture, hot smoked",Seafood,3.08,0.56,0.17,2.10,0.14,0.11,0.00,1108,20.7,0,20.1,Fa0394,Pa059,Ma0333,
Ra00200,"Salmon, atlantic, aquaculture, raw",Seafood,2.09,0.44,0.12,1.36,0.14,0.03,0.00,947,18.3,0,15.8,Fa0418,Pa059,Ma0333,
Ra00201,"Mayonnaise, low fat",Seasonings/preservatives/extracts,1.17,0.12,0.01,0.35,0.64,0.05,0.01,1899,51.3,0,0,Fa0120,Pa042,Ma0332,
Ra00202,Mayonnaise,Seasonings/preservatives/extracts,3.13,0.20,0.01,1.91,0.64,0.37,0.01,3002,80,0.1,1.1,Fa0119,Pa042,Ma0332,
Ra00203,"Remoulade, average values",Seasonings/preservatives/extracts,1.86,0.54,0.06,0.71,0.42,0.13,0.01,1568,36.8,12,1.1,Fa0121,Pa063,Ma0332,
Ra00204,"Oyster, raw",Seafood,0.84,0.00,0.01,0.45,0.08,0.31,0.00,258,1.5,4.2,7.8,Fa0395,Pa062,Ma0333,
Ra00205,"Mussel, raw",Seafood,0.19,0.00,0.00,0.08,0.08,0.02,0.00,348,2.2,0,11.9,Fa0398,Pa062,Ma0333,
Ra00206,"Octopus, raw",Seafood,0.38,0.00,0.01,0.08,0.26,0.02,0.00,324,0.9,1.5,16.4,Fa0399,Pa066,Ma0333,
Ra00207,"Mushroom, raw",Vegetables,0.38,0.06,0.01,0.00,0.26,0.04,0.00,110,0.3,0,2.9,Cm101,Pa066,Ma0333,
Ra00208,Oyster mushroom,Vegetables,0.38,0.06,0.01,0.00,0.26,0.04,0.00,182,0.4,6.5,3.3,Cm101,Pa066,Ma0333,
Ra00209,"Almondmilk, unfortified",Milk/eggs/substitute products,0.53,0.33,0.04,0.02,0.08,0.05,0.01,196,2.2,4.3,0.8,Fa0145,Pa035,Ma0332,
Ra00210,"Ricemilk, with added calcium",Milk/eggs/substitute products,1.40,1.12,0.05,0.03,0.08,0.11,0.01,230,0.9,6.9,0.1,Fa0146,Pa035,Ma0332,
Ra00211,"Oatmilk, with added calcium",Milk/eggs/substitute products,0.40,0.12,0.02,0.14,0.08,0.03,0.01,190,1.6,5.6,0.6,Fa0147,Pa035,Ma0332,
Ra00212,"Soymilk, with added calcium",Milk/eggs/substitute products,0.46,0.18,0.04,0.10,0.08,0.05,0.01,190,1.9,3.3,3.6,Fa0144,Pa035,Ma0332,
Ra00213,"Bouillon, chicken, prepared",Seasonings/preservatives/extracts,0.35,0.01,0.02,0.15,0.13,0.03,0.01,18,0.2,0.3,0.3,Fa0071,Pa020,Ma0332,
Ra00214,"Meat balls, canned",Prepared/preserved foods,16.13,12.73,3.01,-0.52,0.63,0.27,0.01,525,9.6,2.9,7.1,Fa0229,Pa051,Ma0332,
Ra00215,"Bouillon, beef, prepared",Seasonings/preservatives/extracts,0.55,0.17,0.06,0.15,0.13,0.03,0.01,30,0.2,0.1,1.1,Fa0072,Pa020,Ma0332,
Ra00216,"Meat balls, average values",Meat/poultry,16.13,12.73,3.01,-0.52,0.63,0.27,0.01,603,9.5,6,8.8,Fa0229,Pa051,Ma0332,
Ra00217,"Dumplings, average values",Prepared/preserved foods,1.33,0.42,0.00,0.57,0.26,0.06,0.00,764,11.6,12.8,5.4,Fa0231,Pa066,Ma0333,
Ra00218,"Meat balls, frozen",Prepared/preserved foods,15.79,12.73,3.01,-0.50,0.26,0.27,0.02,679,9.4,9,10.5,Fa0230,Pa066,Ma0334,
Ra00219,"Soup, tomato, ready to eat",Prepared/preserved foods,2.19,1.18,0.06,0.58,0.22,0.13,0.01,304,1.5,12.7,1.6,Fa0161,Pa043,Ma0332,
Ra00220,"Bouillon, beef, concentrated, cube",Seasonings/preservatives/extracts,9.94,6.84,1.82,0.63,0.41,0.24,0.01,676,3.2,12,17,Fa0070,Pa023,Ma0332,
Ra00221,"Dumplings, frozen",Prepared/preserved foods,1.37,0.42,0.01,0.59,0.26,0.06,0.02,792,13,9.8,7,Fa0232,Pa066,Ma0334,
Ra00222,"Chicken, grilled, fast food",Prepared/preserved foods,4.71,2.98,0.21,0.07,1.18,0.27,0.00,888,11.2,0,28,Fa0162,Pa052,Ma0333,
Ra00223,"Chicken nuggets, deepfried, ready meals",Prepared/preserved foods,4.34,2.90,0.19,0.71,0.26,0.25,0.02,1171,16.1,19.1,14.7,Fa0163,Pa066,Ma0334,
Ra00224,"Pizza with tomato and cheese, ready meals",Bread/bakery products,2.44,1.16,-0.38,1.34,0.21,0.11,0.00,1351,13.5,35.7,13.3,Fa0091,Pa038,Ma0333,
Ra00225,"Pizza with seafood, tomato and cheese, ready meals",Bread/bakery products,3.63,1.59,0.00,1.71,0.21,0.11,0.00,1073,10,26.7,13.8,Fa0092,Pa038,Ma0333,
Ra00226,"Pizza with salami, tomato and cheese, ready meals",Bread/bakery products,3.04,1.59,-0.10,1.23,0.21,0.10,0.00,1308,14.5,31.7,12.8,Fa0093,Pa038,Ma0333,
Ra00227,"Pizza with vegetables, fruit, tomato and cheese, ready meals",Bread/bakery products,2.32,0.77,-0.12,1.35,0.21,0.11,0.00,921,8.4,26.8,8.1,Fa0094,Pa038,Ma0333,
Ra00228,"Pizza with meat, tomato and cheese, ready meals",Bread/bakery products,4.56,2.76,0.34,1.09,0.21,0.16,0.00,1081,9.8,29.5,11.8,Fa0095,Pa038,Ma0333,
Ra00229,"Pizza with meat and seafood, tomato and cheese, ready meals",Bread/bakery products,4.10,2.18,0.17,1.40,0.21,0.14,0.00,958,9.3,22.4,12.8,Fa0096,Pa038,Ma0333,
Ra00230,"Veal and pork, mince, 15-20% fat, raw",Meat/poultry,22.04,18.07,4.35,-0.88,0.14,0.35,0.00,904,16.4,0,17.6,Fa0164,Pa059,Ma0333,
Ra00231,Goat milk,Milk/eggs/substitute products,2.80,2.24,0.01,0.12,0.08,0.34,0.00,289,4.1,4.4,3.5,Fa0081,Pa035,Ma0333,
Ra00232,Marzipan,Candy/sugar products,12.08,9.19,0.91,0.29,0.67,1.01,0.01,1997,26.5,42,13.3,Fa0165,Pa024,Ma0332,
Ra00233,"Syrup, kitchen",Candy/sugar products,1.75,1.09,0.09,0.05,0.42,0.09,0.01,1307,0,76.7,0.3,Fa0166,Pa063,Ma0332,
Ra00234,"Pasta, raw",Prepared/preserved foods,2.05,1.18,0.09,0.18,0.23,0.36,0.01,1532,1.8,73.9,13.5,Fa0006,Pa002,Ma0332,
Ra00235,"Apple, raw, all varieties",Fruit/vegetable products,0.61,0.34,0.02,0.00,0.14,0.10,0.01,233,0.2,10.9,0.3,Cm004,Pa059,Ma0332,
Ra00236,"Pear, raw",Fruit/vegetable products,0.46,0.24,0.03,0.00,0.14,0.04,0.01,207,0.1,8.3,0.3,Cm120,Pa059,Ma0332,
Ra00237,"Grape, raw",Fruit/vegetable products,0.88,0.54,0.04,0.00,0.14,0.16,0.01,285,0,15.3,0.6,Cm073,Pa059,Ma0332,
Ra00238,"Pork, collar with rind, raw",Meat/poultry,4.64,4.30,0.25,-0.23,0.14,0.19,0.00,1139,23.4,0,16.1,Fa0041,Pa059,Ma0333,
Ra00239,"Pork, ham, topside (M. Semimembranosus), lean, raw",Meat/poultry,4.64,4.30,0.25,-0.23,0.14,0.19,0.00,446,2.2,0,21.4,Fa0042,Pa059,Ma0333,
Ra00240,"Pork, loin, lean, raw",Meat/poultry,5.53,5.16,0.29,-0.27,0.14,0.22,0.00,450,1.9,0,22.3,Fa0043,Pa059,Ma0333,
Ra00241,"Pork, tenderloin, trimmed, raw",Meat/poultry,7.32,6.87,0.39,-0.37,0.14,0.28,0.00,484,3.3,0,21.2,Fa0044,Pa059,Ma0333,
Ra00242,"Pork, mince, 5-10% fat, raw",Meat/poultry,3.67,3.87,0.25,-0.71,0.14,0.13,0.00,726,11.2,0,18.4,Fa0047,Pa059,Ma0333,
Ra00243,"Pork, collar, defatted, raw",Meat/poultry,4.69,4.97,0.32,-0.90,0.14,0.16,0.00,756,12.4,0,17.4,Fa0048,Pa059,Ma0333,
Ra00244,"Pork, mince, 15-20% fat, raw",Meat/poultry,3.75,3.44,0.20,-0.18,0.14,0.15,0.00,929,17.2,0,17.1,Fa0045,Pa059,Ma0333,
Ra00245,"Minced meat, spaghetti sauce type, average values, ready meals",Meat/poultry,19.74,15.38,4.03,-0.60,0.64,0.29,0.00,528,8.3,4.9,8.1,Fa0167,Pa070,Ma0333,
Ra00246,"Turtle, fake, average values, ready meals",Meat/poultry,26.36,20.74,5.36,-0.75,0.63,0.38,0.01,457,6.2,5.5,7.9,Fa0233,Pa051,Ma0332,
Ra00247,"Spring roll, frozen, ready meals",Prepared/preserved foods,3.11,1.46,0.12,0.74,0.64,0.15,0.00,631,6.8,15.5,5.8,Fa0168,Pa070,Ma0333,
Ra00248,"Pork in curry sauce, frozen, ready meals",Meat/poultry,4.72,3.66,0.26,-0.06,0.64,0.19,0.02,497,8.6,2,8.5,Fa0172,Pa070,Ma0334,
Ra00249,"Pizza Romana, frozen, ready meals",Bread/bakery products,2.70,1.54,-0.19,1.01,0.21,0.11,0.02,745,5.8,23.1,7.2,Fa0097,Pa038,Ma0334,
Ra00250,"Liver, pig, in cream sauce, frozen, ready meals",Meat/poultry,2.98,1.37,0.08,0.79,0.64,0.08,0.02,519,5.4,6.9,11.9,Fa0173,Pa070,Ma0334,
Ra00251,"Pizza Napolitana, frozen, ready meals",Bread/bakery products,2.47,1.16,-0.37,1.34,0.21,0.11,0.02,761,6.1,21.9,8.6,Fa0100,Pa038,Ma0334,
Ra00252,"Spring roll, deepfried, ready meals",Prepared/preserved foods,3.11,1.46,0.12,0.74,0.64,0.15,0.00,851,9.8,21.4,6.1,Fa0168,Pa070,Ma0333,
Ra00253,"Pizza with broccoli, frozen, ready meals",Bread/bakery products,2.35,0.77,-0.11,1.35,0.21,0.11,0.02,816,6.7,23.6,8.7,Fa0099,Pa038,Ma0334,
Ra00254,"Pizza with tuna, frozen, ready meals",Bread/bakery products,2.29,0.59,-0.14,1.51,0.21,0.09,0.02,855,5.7,25.9,11,Fa0098,Pa038,Ma0334,
Ra00255,"Pork, minced and bound with flour and egg, boiled, frozen, ready meals",Meat/poultry,2.24,1.36,0.04,0.08,0.64,0.09,0.02,908,15.5,3.9,15.8,Fa0234,Pa070,Ma0334,
Ra00256,"Potato, raw",Vegetables,0.41,0.26,0.02,0.00,0.06,0.06,0.01,326,0.3,17.9,2,Cm132,Pa040,Ma0332,
Ra00257,"Carrot, raw",Vegetables,0.27,0.15,0.02,0.00,0.06,0.04,0.01,152,0.4,6.2,0.7,Cm023,Pa040,Ma0332,
Ra00258,"Radish, raw",Vegetables,0.45,0.25,0.03,0.00,0.14,0.03,0.01,48,0.1,1.3,0.8,Cm173,Pa059,Ma0332,
Ra00259,"Beet, red, raw",Vegetables,0.33,0.19,0.02,0.00,0.06,0.06,0.01,220,0.3,9.9,1.7,Cm157,Pa040,Ma0332,
